user_id,sentiment_analysis,posted,item_id,recommend
76561197970982479,1,2011,1250,True
76561197970982479,1,2011,22200,True
76561197970982479,1,2011,43110,True
js41637,1,2014,251610,True
js41637,1,2013,227300,True
js41637,1,2013,239030,True
evcentric,2,2015,370360,True
evcentric,2,2014,237930,True
evcentric,2,2014,263360,True
evcentric,2,2014,107200,True
evcentric,2,2014,224500,True
doctr,2,2013,250320,True
doctr,2,2012,20920,True
doctr,2,2012,204100,True
doctr,2,2014,224600,True
doctr,2,2012,207610,True
doctr,2,2012,108710,True
maplemage,1,2014,211420,True
maplemage,1,2013,211820,True
maplemage,1,2014,730,True
maplemage,1,2013,204300,True
Wackky,0,2014,249130,True
Wackky,0,2012,207610,True
Wackky,0,2012,550,True
Wackky,0,2012,65800,True
Wackky,0,2012,220,True
76561198089393905,0,2015,72850,True
76561198089393905,0,2014,440,True
76561198077246154,1,2014,304930,True
WeiEDKrSat,1,2013,4000,True
thequeenpanda,1,2012,42910,True
death-hunter,1,2015,232090,True
death-hunter,1,2015,1250,True
death-hunter,1,2014,4000,True
DJKamBer,1,2014,304930,True
DJKamBer,1,2013,570,True
DJKamBer,1,2015,218620,True
DJKamBer,1,2013,224260,True
DJKamBer,1,2013,1250,True
DJKamBer,1,2012,440,True
Rainbow-Dashie,2,2015,730,True
Rainbow-Dashie,2,2014,440,True
Rainbow-Dashie,2,2014,49520,True
76561198043472122,0,2014,33440,False
MarbleShrine,1,2015,220200,True
PPanther,1,2014,211820,True
devvonst,2,2014,440,True
devvonst,2,2014,218740,True
devvonst,2,2015,550,True
starkillershadow553,1,2015,238090,True
starkillershadow553,1,2014,277430,True
76561198058373434,1,2015,8870,True
76561198048353577,0,2015,368230,True
76561198048353577,0,2013,33930,True
76561198066046412,0,2015,359320,False
76561198066046412,0,2015,219640,True
tru_mu_,1,2015,287980,True
76561198070565427,1,2015,208090,True
76561198070565427,1,2014,242700,True
76561198070565427,1,2014,570,False
76561198070565427,1,2014,224260,True
SavageEeEe,2,2015,221100,True
76561198076909484,0,2014,570,True
KanadeTheNeko,2,2014,331470,True
KanadeTheNeko,2,2014,4000,True
GoAwayZach,2,2014,304930,True
76561198054540475,1,2015,12210,True
76561198054540475,1,2014,265210,True
76561198054540475,1,2014,48700,True
76561198061252210,1,2015,730,True
OfficialShroomsy,1,2013,113200,True
boydeer,1,2014,440,True
boydeer,1,2015,383080,False
VVillis,1,2015,213670,True
76561198083226897,1,2015,105600,True
76561198075277292,1,2015,730,True
76561198075277292,1,2015,570,True
76561198028895010,2,2013,231180,True
76561198028895010,2,2012,620,True
diego9031,1,2015,223710,True
diego9031,1,2015,299360,True
diego9031,1,2015,322330,True
diego9031,1,2015,1250,True
diego9031,1,2015,12100,True
diego9031,1,2015,204360,True
diego9031,1,2013,440,True
diego9031,1,2013,224260,True
jarrodtrim,2,2012,440,True
76561198067936203,1,2015,440,True
76561198079770573,1,2015,1840,True
76561198087586464,2,2013,440,True
Derp-e,1,2015,440,True
76561198070194565,1,2014,233250,True
76561198070194565,1,2015,248570,True
Rivtex,1,2015,298630,True
UTNerd24,1,2014,244210,True
UTNerd24,1,2015,440,True
UTNerd24,1,2015,376920,True
UTNerd24,1,2015,257750,True
UTNerd24,1,2014,221910,True
UTNerd24,1,2013,2280,True
sandwiches1,1,2015,417860,False
76561198138053270,1,2014,218620,True
lucaswerg,1,2014,218620,True
lucaswerg,1,2014,222880,True
Life-Of-Blu,2,2015,377160,True
Life-Of-Blu,2,2013,211820,True
CaptianAutismo,2,2015,252490,True
76561198075895633,1,2014,440,True
kube134,2,2014,251990,True
iamthekingofbrowntown,0,2015,344760,False
iamthekingofbrowntown,0,2015,252950,True
iamthekingofbrowntown,0,2015,399730,True
yookobz,2,2015,377160,True
yookobz,2,2013,219150,True
Posiblydead,1,2014,277430,True
Posiblydead,1,2014,239820,True
Posiblydead,1,2012,17410,True
Mossy_Gaming,2,2015,440,True
76561198102421718,1,2015,270550,True
76561198102421718,1,2015,274940,True
76561198102421718,1,2015,333930,True
76561198087407319,0,2014,440,True
76561198056741844,1,2014,730,True
sad-commie,1,2014,212070,True
sad-commie,1,2014,264140,True
76561198030567998,1,2014,332800,True
76561198030567998,1,2015,319630,True
76561198030567998,1,2015,6020,True
76561198030567998,1,2015,55230,True
76561198030567998,1,2014,32430,True
Coldaniel,2,2015,35450,True
Coldaniel,2,2014,440,True
Coldaniel,2,2015,236390,True
therealmorty,1,2015,351570,True
therealmorty,1,2015,212680,True
Berserklejerker,1,2015,391540,True
76561198061730629,1,2014,550,True
YoHuNz,1,2014,440,True
YoHuNz,1,2014,570,True
possessioniskey,2,2015,72850,True
possessioniskey,2,2015,440,True
possessioniskey,2,2014,113400,True
76561198093112529,1,2014,440,True
76561198060447950,1,2015,200510,True
whiteofwolfing,1,2015,730,True
sergarino,1,2015,383080,True
76561198081962345,2,2014,1250,True
Nozomikat,1,2015,265610,True
Nozomikat,1,2014,264200,True
Nozomikat,1,2015,417860,True
Nozomikat,1,2015,333600,True
Nozomikat,1,2014,213670,True
Nozomikat,1,2013,91310,True
Nozomikat,1,2013,210770,True
xfluttersx,1,2015,351640,True
xfluttersx,1,2012,105600,True
xfluttersx,1,2014,440,True
xfluttersx,1,2013,47870,True
xfluttersx,1,2015,383080,True
xfluttersx,1,2012,410,True
76561198056290589,2,2014,730,True
ii_voltage_ii,1,2014,253710,False
ii_voltage_ii,1,2015,339280,True
ii_voltage_ii,1,2014,271290,True
ii_voltage_ii,1,2013,203290,True
76561198097762318,1,2015,440,True
76561198097762318,1,2014,233150,True
Hirukaz,1,2013,550,True
StelerForYou,1,2015,730,True
StelerForYou,1,2013,211820,True
76561198183396245,2,2015,440,True
Xx-Woods,1,2015,224260,True
Xx-Woods,1,2014,317360,True
Xx-Woods,1,2014,295550,True
Xx-Woods,1,2014,250180,True
Xx-Woods,1,2014,227940,True
Xx-Woods,1,2014,17520,True
Xx-Woods,1,2014,113420,True
kevinator23,1,2015,320760,True
kevinator23,1,2015,8850,True
kevinator23,1,2014,233720,True
kevinator23,1,2015,218620,True
kevinator23,1,2015,730,True
kevinator23,1,2015,219740,True
kevinator23,1,2014,220240,True
kevinator23,1,2012,440,True
76561198090715178,1,2014,4000,True
76561198090715178,1,2014,304930,True
CatsWhale,1,2015,333950,True
CatsWhale,1,2015,388520,True
CatsWhale,1,2014,107410,True
CatsWhale,1,2014,206210,True
76561198073784601,2,2015,221100,True
mimimomoma,0,2015,730,True
76561198102410011,1,2015,440,True
de_Butl3r,1,2014,209870,True
Bluezap1,1,2015,440,True
Bluezap1,1,2015,730,True
Bluezap1,1,2015,362890,True
Bluezap1,1,2015,413850,True
76561198074200011,1,2015,730,True
L1J1N,2,2014,570,True
Lord_Exploit,1,2015,311560,True
Lord_Exploit,1,2015,322170,True
AVATAR715,1,2014,48240,False
AVATAR715,1,2015,440,True
AVATAR715,1,2014,248570,True
AVATAR715,1,2014,264140,True
AVATAR715,1,2014,4000,True
AVATAR715,1,2015,266430,True
AVATAR715,1,2015,316010,True
AVATAR715,1,2014,249570,True
76561198078752187,0,2014,240,True
A-Very-Sly-Person,1,2015,304930,True
A-Very-Sly-Person,1,2014,440,True
76561197994493402,1,2015,264200,True
76561197994493402,1,2014,440,True
76561198065656175,1,2015,383080,True
97396295,2,2014,301520,True
97396295,2,2014,243870,True
97396295,2,2014,218230,False
76561198126640317,1,2015,251570,True
76561198126640317,1,2015,221100,True
76561198126640317,1,2015,316010,True
76561198126640317,1,2015,218230,True
76561198126640317,1,2015,333930,True
76561198126640317,1,2015,222880,True
76561198126640317,1,2015,730,True
DemonicWolvz,1,2015,55230,True
DemonicWolvz,1,2015,232090,True
DemonicWolvz,1,2015,4000,True
DemonicWolvz,1,2014,206420,True
DemonicWolvz,1,2014,224260,True
DemonicWolvz,1,2013,550,True
DieMadchenschanderin,1,2015,346110,True
DieMadchenschanderin,1,2015,380770,False
DieMadchenschanderin,1,2013,227680,False
GGargula,1,2015,233250,True
getf0kinn0sc0pedm9,0,2015,730,True
76561198141443390,2,2015,730,True
whodafuqisthisguilao,2,2015,730,True
Magjiikal,2,2015,370480,True
Magjiikal,2,2015,313740,True
ohnospaghet,2,2014,1840,True
ohnospaghet,2,2014,440,True
ohnospaghet,2,2015,266210,True
ohnospaghet,2,2015,264200,True
2768820078,1,2015,287700,True
2768820078,1,2015,377160,True
2768820078,1,2015,221380,True
2768820078,1,2015,333950,True
2768820078,1,2015,222420,False
2768820078,1,2015,271590,True
2768820078,1,2015,298110,True
2768820078,1,2015,222440,True
2d4nk4m3,1,2014,317470,False
2d4nk4m3,1,2014,47410,True
76561198095921854,2,2015,245620,True
EizanAratoFujimaki,1,2015,70,True
TeCool,1,2014,274980,True
TeCool,1,2014,202090,True
TeCool,1,2015,339280,True
TeCool,1,2015,314130,False
2xDelorean,1,2015,570,True
2xDelorean,1,2013,212680,True
2xDelorean,1,2013,200210,True
2xDelorean,1,2011,440,True
washington_,1,2015,417860,True
jewxxl,2,2015,251970,True
76561198088944293,1,2014,304930,True
76561198092540221,1,2015,400,True
76561198092540221,1,2015,620,True
76561198092540221,1,2015,238460,True
76561198092540221,1,2015,6060,True
76561198092540221,1,2014,440,True
76561198051258119,1,2015,730,True
nubquake123,1,2014,265610,True
Pyromanic,1,2013,31280,True
Pyromanic,1,2013,4000,True
Pyromanic,1,2013,240,True
CobRazor,0,2015,252490,True
relesprit,2,2013,8930,True
WitchHunter4542,2,2014,304930,True
WitchHunter4542,2,2015,237310,True
WitchHunter4542,2,2014,224260,True
pwrt,1,2015,230410,True
pwrt,1,2014,440,True
wantmahbody,2,2014,440,True
benedictcuminherbatch,2,2014,570,True
76561198031207016,2,2014,8930,True
76561198043458582,0,2015,105600,True
76561198043458582,0,2015,221100,True
76561198043458582,0,2015,107410,True
76561198043458582,0,2014,231430,True
smashiroshh,1,2014,218620,True
killbunny38,2,2015,570,True
killbunny38,2,2015,333930,False
76561198047630659,1,2015,230410,False
1337lolroflmao,1,2015,271590,True
1337lolroflmao,1,2014,218620,True
1337lolroflmao,1,2013,219740,True
1337lolroflmao,1,2013,7940,True
1337lolroflmao,1,2014,234190,True
1337lolroflmao,1,2013,10180,True
1337lolroflmao,1,2013,33900,True
1337lolroflmao,1,2015,261030,True
1337lolroflmao,1,2014,243470,True
sithjjf,1,2015,302830,False
76561198060039459,1,2014,570,False
OzfurAtlas,1,2013,212680,True
76561198065593074,1,2015,304930,False
76561198065593074,1,2015,304050,True
76561198065593074,1,2014,203750,True
76561198044169764,1,2015,227940,False
76561198044169764,1,2015,355180,False
76561198044169764,1,2015,4000,True
euzi,2,2014,236390,True
76561197961778802,2,2014,730,True
thisissohardtomakeoneup,1,2014,440,True
76561198087010391,2,2015,4000,True
66666669999999,1,2015,302830,False
76561198061174192,2,2014,220200,True
76561198061174192,2,2014,242760,True
ReMiXOfficalSteam,2,2015,352460,True
Wilfire77,1,2015,322920,True
76561198084390807,1,2015,234792,True
76561198084390807,1,2014,252490,True
Mastic,1,2015,304050,False
Mastic,1,2014,550,True
Mastic,1,2014,206420,True
76561198028286104,2,2013,10180,True
tarjla,1,2014,304930,True
tarjla,1,2015,265750,True
tarjla,1,2014,252490,True
tarjla,1,2013,4000,True
tarjla,1,2013,211820,True
